,time,cell,cell_state,tumor_debris,X,Y,experiment_id
40,11400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
41,11400.0,dendritic_3,inactive,0.0,!units[789.5190274916081 micrometer],!units[771.1298339630437 micrometer],tumor_tcell_20230626.211422
42,12000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
43,12000.0,dendritic_3,inactive,0.0,!units[789.6519742046577 micrometer],!units[771.3300505111398 micrometer],tumor_tcell_20230626.211422
44,12600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
45,12600.0,dendritic_3,inactive,0.0,!units[789.6519742046577 micrometer],!units[771.3300505111398 micrometer],tumor_tcell_20230626.211422
46,13200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
47,13200.0,dendritic_3,inactive,0.0,!units[789.6519742046577 micrometer],!units[771.3300505111398 micrometer],tumor_tcell_20230626.211422
48,13800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
49,13800.0,dendritic_3,inactive,0.0,!units[789.6519742046577 micrometer],!units[771.3300505111398 micrometer],tumor_tcell_20230626.211422
50,14400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
51,14400.0,dendritic_3,inactive,0.0,!units[789.6519742046577 micrometer],!units[771.3300505111398 micrometer],tumor_tcell_20230626.211422
52,15000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
53,15000.0,dendritic_3,inactive,0.0,!units[789.6519742046577 micrometer],!units[771.3300505111398 micrometer],tumor_tcell_20230626.211422
54,15600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
55,15600.0,dendritic_3,inactive,0.0,!units[789.6519742046577 micrometer],!units[771.3300505111398 micrometer],tumor_tcell_20230626.211422
56,16200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
57,16200.0,dendritic_3,inactive,0.0,!units[789.6519742046577 micrometer],!units[771.3300505111398 micrometer],tumor_tcell_20230626.211422
