,AbsoluteY,AbsoluteX,H2Db,H2Kb,PD1,PDL1,Region,Cell Type,IFNg
1282,47.158011718750004,47.36209332275391,3675.5142216382883,1964.6832293300145,2033.355383476486,4849.012421441167,2HCTcell_d3,PDL1n,0
1299,114.17684887695316,19.269633666992178,4819.755734969255,3658.7992285744663,3403.863776179309,6378.197698845692,2HCTcell_d3,PDL1n,0
1300,104.9699860839844,48.66242578124999,3349.134827465752,2455.0171251194797,3155.513340428184,4786.485589009266,2HCTcell_d3,PDL1n,0
1301,121.93019995117186,26.384289123535154,6203.146303174783,5369.709432618501,2732.3161410220164,9968.876608252467,2HCTcell_d3,PDL1n,0
1319,56.006834960937454,48.22541503906251,3699.0286808498627,1667.2279398756332,2077.726063970556,4963.220097669689,2HCTcell_d3,PDL1n,0
1390,7.696162597656212,207.70520495605479,4064.6630689502645,2373.583305354286,4793.105567190876,4730.148457212339,2HCTcell_d3,PDL1n,0
1394,12.916913085937495,210.198826171875,3717.6451444764425,2111.4710061655455,4973.00146460048,7315.716389664789,2HCTcell_d3,PDL1n,0
1395,150.73747314453135,248.9897883300781,3320.718216702551,2312.680119400924,2872.3873033241885,8308.49339542722,2HCTcell_d3,PDL1n,0
1396,194.14815795898448,161.45636639404296,4666.931018666597,3281.4033759094223,3448.121230115025,9452.42217089451,2HCTcell_d3,PDL1n,0
1397,227.54128271484365,157.73305419921877,5694.834180214655,3894.2674270976063,2868.9108626086845,11048.589083385055,2HCTcell_d3,PDL1n,0
1398,193.87792553710938,147.68130090332028,5090.305384649772,4294.953833389055,3853.536538027795,9661.409969971657,2HCTcell_d3,PDL1n,0
1399,190.4700148925781,213.8825837402344,4785.065881480565,2748.0460899060677,2898.9054404205385,7792.692089191455,2HCTcell_d3,PDL1n,0
1400,206.2551411132813,102.0377010498047,5961.932110698589,6976.407627126555,2949.329612779175,10986.496196698747,2HCTcell_d3,PDL1n,0
1401,76.18636743164063,138.7142739868164,2477.5213249471326,1406.2835908710983,2367.2905999398113,4029.2620629684125,2HCTcell_d3,PDL1n,0
1402,149.55493017578124,220.45270153808605,3832.013568075137,2196.788945215291,3243.8285878531183,6013.834902807453,2HCTcell_d3,PDL1n,0
1403,175.67248876953136,287.38497412109376,10709.812669634704,4063.573081169182,5552.146685545693,12752.395190818335,2HCTcell_d3,PDL1n,0
1404,163.72123901367195,193.28016882324226,1849.8462510328775,2649.0093093638643,2291.07426174066,4532.0361468211595,2HCTcell_d3,PDL1n,0
1405,156.2584614257812,117.46080694580075,4747.219382426261,3068.187178412945,2256.7924896722807,5559.559492283805,2HCTcell_d3,PDL1n,0
1406,75.91944848632818,130.77334332275393,3481.7143190367,1543.7357745525433,3389.578511659792,4911.808589335834,2HCTcell_d3,PDL1n,0
1407,140.28796459960927,89.6810106201172,5028.789522173014,2669.446035091596,2756.8653838807895,6570.891439926833,2HCTcell_d3,PDL1n,0
1408,122.82824414062497,94.84124414062501,6244.684811860108,2470.8004270963256,2191.462233593296,8821.165336286196,2HCTcell_d3,PDL1n,0
1409,71.75845825195313,132.33369165039062,2625.7157276975004,2848.691446804461,2810.434758806098,6302.271648391617,2HCTcell_d3,PDL1n,0
1410,139.6111870117188,176.19213299560545,2287.858498221484,626.8649541253446,3581.297684112604,1418.3975420520524,2HCTcell_d3,PDL1n,0
1411,177.64879345703116,288.11789672851563,12432.25304083245,3460.3419425360003,6850.108418310975,10203.200230860937,2HCTcell_d3,PDL1n,0
1412,298.11106225585945,222.07708740234375,4209.146382404612,3741.941770839397,2842.7017587769515,9094.753526357978,2HCTcell_d3,PDL1n,0
1413,305.2151560058594,143.27345666503902,5657.993802900773,8408.702492821838,2791.0394347340084,21398.671246614533,2HCTcell_d3,PDL1n,0
1414,368.72446923828124,262.6086372070313,10442.00520230191,13646.960164859716,4887.644054562186,25455.091056244644,2HCTcell_d3,PDL1n,0
1505,12.855889892578148,434.3730494384765,4281.144348361012,3410.9236984084446,3345.242147804963,21656.80613013486,2HCTcell_d3,PDL1n,0
1508,54.94863940429684,452.0161616210937,3348.6187319729183,4455.708962517696,2333.1859164108355,23796.51324652139,2HCTcell_d3,PDL1n,0
1509,238.04601586914055,543.8816550292969,3196.13140459786,1796.6331111691973,3126.0880151025794,9812.047258792545,2HCTcell_d3,PDL1n,0
1510,156.09573291015636,423.30134362792967,5007.579735367214,4386.579462116417,2881.445795015422,30809.211015547837,2HCTcell_d3,PDL1n,0
1511,189.88132055664073,495.14174938964834,3158.313430587266,2641.8824107443415,2451.5689627121014,12890.742168522349,2HCTcell_d3,PDL1n,0
1512,121.25434277343754,558.3499964599608,4669.734029253227,2738.145615179671,3089.103119525998,23934.73868401658,2HCTcell_d3,PDL1n,0
1513,242.7272219238282,546.0122204589844,2836.498799038757,1776.7719728725556,2830.3877741437286,11000.596040924715,2HCTcell_d3,PDL1n,0
1514,362.0889562988282,435.7119700927734,8267.419841563655,7725.909458046014,3450.5380757771445,34691.63716622678,2HCTcell_d3,PDL1n,0
1515,246.24199218750005,508.8455061035156,2429.091656860967,3159.740985158571,2440.37201221292,10300.59877820847,2HCTcell_d3,PDL1n,0
1516,396.3477268066406,439.3032724609375,5122.8734282645555,3969.843371850137,2504.2974882202625,28724.5887538066,2HCTcell_d3,PDL1n,0
1517,343.1442460937501,404.4963516845703,4990.949823791382,3285.4385573902996,3664.053268957463,17009.67966556865,2HCTcell_d3,PDL1n,0
1518,426.0492705078125,515.0287294921875,1280.0599197161123,2452.0697263291104,3165.654182591338,7961.044158449398,2HCTcell_d3,PDL1n,0
1519,322.0385048828125,428.84994421386716,6591.90788995956,4328.186167811163,1354.3294736360467,24863.463999727137,2HCTcell_d3,PDL1n,0
1520,363.1952893066407,426.23054895019527,4884.219311234514,4566.474643588925,5353.878356829425,10481.482468997905,2HCTcell_d3,PDL1n,0
1577,199.30632055664069,586.9075163574219,2720.8170899839192,2625.986823697459,6076.761482155383,9738.27058203147,2HCTcell_d3,PDL1n,0
1579,204.16728271484385,588.6079741210938,2288.0481614260248,2529.494159832219,5869.0845219207495,5711.0752926141295,2HCTcell_d3,PDL1n,0
1993,45.767916259765684,6.49924188232427,5068.084942321769,5748.696159038603,1297.8251084983533,13944.118178404338,2HCTcell_d3,PDL1p,0
2077,42.39719018554683,42.39385736083983,7581.072530887734,5772.097986157835,2572.5319963454663,12754.965235234116,2HCTcell_d3,PDL1p,0
2089,49.13523681640629,26.85974999999999,10597.181440088754,6320.856366549788,2203.725202046255,20446.683370934872,2HCTcell_d3,PDL1p,0
2096,27.650378662109347,22.464906555175787,6376.514718176457,8247.554871736671,2220.245085368174,14876.614780594622,2HCTcell_d3,PDL1p,0
2113,216.3011418457031,23.135103210449216,4763.009788742153,10727.32444814365,2809.353325891377,12374.224601055923,2HCTcell_d3,PDL1p,0
2116,228.07935449218758,8.050225036621129,5636.018184788989,8317.415742459001,2119.4084853830477,12467.24298087757,2HCTcell_d3,PDL1p,0
2139,176.76934155273443,33.678539611816404,15035.137210199267,14663.488705638347,1866.1173711382828,20187.934886360268,2HCTcell_d3,PDL1p,0
2155,212.34301000976552,42.38168493652344,14808.517639094001,18225.995225442264,2422.820978110785,17993.124035296,2HCTcell_d3,PDL1p,0
2178,231.70889990234377,26.109845825195322,14699.793018183416,15039.504092607503,1924.7797390522628,28296.920618998854,2HCTcell_d3,PDL1p,0
2181,234.84418505859367,26.68206481933595,17488.41791521943,16735.727544367666,2585.6708649005745,47713.34893977754,2HCTcell_d3,PDL1p,0
2182,56.257278564453145,14.46187121582031,3549.6488830711146,3568.4468383589956,1380.2140374864991,16288.353866206295,2HCTcell_d3,PDL1p,0
2183,200.03381274414073,43.30805474853517,10528.947268641588,24030.777271175724,1859.762369978131,17233.213349638143,2HCTcell_d3,PDL1p,0
2200,220.48477416992182,25.578470031738277,17023.17331885056,20821.69424737256,1965.7000374552797,22606.69360220566,2HCTcell_d3,PDL1p,0
2216,213.33990625,19.555374999999998,12025.86222140409,20452.051796810912,2146.7491207525654,29283.723274496322,2HCTcell_d3,PDL1p,0
2234,428.55112939453124,6.744945373535103,4244.64135997473,7211.540656401597,2752.0634400356353,19168.324634493685,2HCTcell_d3,PDL1p,0
2236,342.04269921874993,10.487494140624989,12885.424931946549,17911.945011898188,3808.6507409222154,27661.10720656155,2HCTcell_d3,PDL1p,0
2243,379.00664721679686,35.93416577148437,4781.951173396433,7573.483655644257,1840.677730773617,12341.853605436958,2HCTcell_d3,PDL1p,0
2251,428.12479541015637,51.29357928466797,9624.094344989324,21634.108087983357,2427.8097366016523,30627.30190299655,2HCTcell_d3,PDL1p,0
2258,241.63948120117198,50.32084381103516,5181.819014286153,6218.452382676085,943.650874118474,13266.267193739226,2HCTcell_d3,PDL1p,0
2259,251.34796752929697,40.852837646484375,5357.651161871115,8715.854424195295,1655.8716177693777,14889.634922965475,2HCTcell_d3,PDL1p,0
2264,252.42678027343754,4.848785400390625,8683.091312299464,8775.257609746077,2074.583063541162,16269.017172982514,2HCTcell_d3,PDL1p,0
2265,325.16651879882806,47.17743603515626,8143.30605402487,8979.466049401812,2868.766806128444,17025.953073529177,2HCTcell_d3,PDL1p,0
2268,339.4886530761719,44.3983726196289,7037.4940085223225,9169.946711966422,1767.851215890386,22474.238374624696,2HCTcell_d3,PDL1p,0
2273,360.74432910156247,22.754145446777358,5938.2374336611865,13538.011950838036,1515.5771220449733,13699.58281825034,2HCTcell_d3,PDL1p,0
2276,338.43082568359387,18.417402893066395,20499.371914534488,37046.24755091722,2727.753312582917,46605.728236693794,2HCTcell_d3,PDL1p,0
2277,363.7065771484374,43.63859704589845,6925.52622237712,12001.76876006554,2217.971745651975,22412.415708402674,2HCTcell_d3,PDL1p,0
2278,370.66874365234366,19.09935778808594,14761.0519663592,31121.706902737507,3040.429829814459,31757.05708411115,2HCTcell_d3,PDL1p,0
2281,317.95574951171875,18.83757012939452,9772.38754640102,17902.560272951436,1771.0173387611944,20200.33198766063,2HCTcell_d3,PDL1p,0
2287,362.95754736328126,50.62246221923829,10466.152124072052,14132.316257807079,2911.7615178469205,18045.84298587627,2HCTcell_d3,PDL1p,0
2290,295.95398901367184,10.131295410156241,19568.027348300566,21244.981311634874,2076.2741214588864,39787.761482248876,2HCTcell_d3,PDL1p,0
2291,343.8861887207031,50.48780621337892,6285.331298979854,8491.335537366569,1891.1299803825423,17298.263321405233,2HCTcell_d3,PDL1p,0
2295,314.5792248535156,52.315441650390625,9152.837198347419,8268.240276861256,1784.8724524658285,18793.92651121302,2HCTcell_d3,PDL1p,0
2304,400.8313208007812,18.19233959960937,25518.372624025338,48842.270948356374,4067.0098905998398,38456.06547416504,2HCTcell_d3,PDL1p,0
2313,273.32404858398445,45.96044671630858,16148.073338141698,26042.30798975653,2871.3930383433712,35566.13902877208,2HCTcell_d3,PDL1p,0
2315,371.2823811035157,30.928469116210948,6974.511467639136,11094.792007709091,1293.6754560659558,19466.104046130164,2HCTcell_d3,PDL1p,0
2320,319.50019775390615,32.57199951171876,12082.342563581806,22391.822577058436,1477.6861387343965,19741.685259626305,2HCTcell_d3,PDL1p,0
2336,325.68130419921886,37.90016186523437,5857.8704843506375,7122.358661015249,1464.9482426752438,17118.014471706567,2HCTcell_d3,PDL1p,0
2340,282.9633200683593,8.786484130859378,20649.29501049676,21488.337114837606,2373.599906751454,37008.056666235716,2HCTcell_d3,PDL1p,0
2342,390.65581835937496,17.165645080566406,11859.11048309788,22048.34490816221,1911.280821052274,24940.487452066736,2HCTcell_d3,PDL1p,0
2349,323.07589916992197,42.612201660156245,11527.629828790465,18162.851227378003,1810.5027612164429,28426.27716125574,2HCTcell_d3,PDL1p,0
2355,428.0637722167969,36.26832067871095,7337.851762157922,15169.72105461012,1282.185162530259,19466.224406336965,2HCTcell_d3,PDL1p,0
2357,279.87285888671886,36.12535797119142,16403.95695938822,25751.772225594126,2330.5090350385244,35608.18014100597,2HCTcell_d3,PDL1p,0
2358,428.1919853515626,28.252560668945307,8189.87706048805,16691.486552388298,1330.164870755087,17797.85729979401,2HCTcell_d3,PDL1p,0
2386,350.17765234374997,35.792077453613274,14341.179946802507,20498.624811446058,2245.387804223249,38172.33162666127,2HCTcell_d3,PDL1p,0
2387,276.7380339355468,30.750484802246092,15414.298891876122,23444.80431408798,2096.0432583338415,35576.416846431144,2HCTcell_d3,PDL1p,0
2397,248.02004052734378,7.311273742675752,16583.340569368964,28164.8235644702,1644.304341184687,36938.40586656361,2HCTcell_d3,PDL1p,0
2400,450.8380329589843,17.22625408935548,6078.280663490507,16266.567476897826,2358.198892677975,23662.672696560203,2HCTcell_d3,PDL1p,0
2401,474.86451171875,35.47154461669922,7401.5680200594725,17734.27563747467,2858.0244134656386,24755.073733493933,2HCTcell_d3,PDL1p,0
2402,459.0791093749999,27.1336870727539,7230.8635796697845,18959.9309062921,1960.0420127434747,26114.67206951879,2HCTcell_d3,PDL1p,0
2404,432.86306689453136,6.57706256103512,3682.5986334875797,11118.828430929854,2141.1795485547423,19728.397256795222,2HCTcell_d3,PDL1p,0
2405,492.6862294921875,1.2155813598632506,3661.202583813576,9159.971211930466,1815.0606348466679,13090.752512174678,2HCTcell_d3,PDL1p,0
2407,478.48301220703115,28.914795776367185,8089.454549650332,21561.49033217808,1749.9641723419838,29181.10793818544,2HCTcell_d3,PDL1p,0
2408,512.2333481445312,0.08103778076176127,10044.363070451931,29514.148867603042,3080.4274326981795,28766.59210597562,2HCTcell_d3,PDL1p,0
2411,482.6463955078125,36.72675396728516,9250.979216948866,24536.41481274946,1995.664886413887,29476.037644925633,2HCTcell_d3,PDL1p,0
2417,441.920731201172,51.437554443359375,5388.233409065447,13948.80671097203,1251.0807075305158,20046.830243918113,2HCTcell_d3,PDL1p,0
2418,432.7798618164063,51.40481085205079,4298.01530600158,11567.83315973186,1356.5823518267082,13631.0742605408,2HCTcell_d3,PDL1p,0
2420,494.28811132812507,20.362689758300775,5417.1823613728675,15402.417531584597,1592.5148437139646,21837.981281425076,2HCTcell_d3,PDL1p,0
2421,441.81322729492194,12.982104797363291,6465.840798103094,15336.052671691525,1330.4104090615344,29956.60999063196,2HCTcell_d3,PDL1p,0
2422,462.0090510253906,0.27561248779301195,14525.591520779326,34470.58585031388,2380.1879674401475,35002.62906056459,2HCTcell_d3,PDL1p,0
2423,439.24537499999997,8.716624999999993,5299.851111379732,9512.725718204638,1268.2700405848118,25650.109991320867,2HCTcell_d3,PDL1p,0
2424,462.3852226562501,12.19685687255864,11730.569457649117,26065.433993490504,1665.5307424030655,29308.918677786372,2HCTcell_d3,PDL1p,0
2425,485.8089248046874,51.79292480468749,6009.106487953904,12786.357483620934,1082.4803980189836,24281.371359591405,2HCTcell_d3,PDL1p,0
2428,482.2705000000001,48.873867004394526,5384.52288649215,12381.723903065662,1231.0089602913365,15837.99547241276,2HCTcell_d3,PDL1p,0
2748,40.00173071289066,279.62444384765627,4461.789483122558,6630.162957375306,2336.836325971267,18931.100566901747,2HCTcell_d3,PDL1p,0
2752,46.891000732421844,285.47719396972656,3511.4986206374265,3394.045195508235,2180.9466610700783,12492.703884623801,2HCTcell_d3,PDL1p,0
2755,8.027142089843778,232.92416711425784,5791.974610857462,3052.5680891361226,2400.3301830722085,18953.15952480285,2HCTcell_d3,PDL1p,0
2759,42.62563598632812,280.03411840820314,3313.1604024722046,4014.6289295595607,1627.7007766462216,14068.675652415599,2HCTcell_d3,PDL1p,0
2761,23.878906005859335,55.14821099853515,7173.026881108999,6958.504059322705,1706.972580317984,12861.638598517386,2HCTcell_d3,PDL1p,0
2762,47.56253198242189,282.57794799804685,3444.263392442862,3724.759457584523,2539.331840703247,15694.262965455477,2HCTcell_d3,PDL1p,0
2765,127.16346801757823,287.28009338378905,3274.4619302580604,3565.653536496574,1555.5952782099507,22893.59221514705,2HCTcell_d3,PDL1p,0
2766,134.7351301269532,195.232220703125,4256.3600524353715,3766.8795093520785,1148.2881508643188,17195.773065309262,2HCTcell_d3,PDL1p,0
2767,234.32829516601555,128.12969525146485,6891.496411952837,7063.741133762324,2499.076220735173,12385.926681162116,2HCTcell_d3,PDL1p,0
2768,227.20284790039068,173.42393041992187,6895.484628660272,15591.51098460527,1973.2739215985596,23594.65029968597,2HCTcell_d3,PDL1p,0
2769,168.59471875000008,149.9119609375,5971.776462207583,4204.9925863604985,2375.08231216213,15549.528636776893,2HCTcell_d3,PDL1p,0
2770,172.90987768554692,174.94654193115235,6133.259946083281,6695.884454164383,2134.9463989906153,14001.959517785754,2HCTcell_d3,PDL1p,0
2771,138.41014379882813,212.03504443359373,5320.173410401734,7355.011302977402,1487.061371170719,12881.18179209597,2HCTcell_d3,PDL1p,0
2772,136.61295092773435,110.89812145996092,8275.350937160707,4925.409886601167,1982.3759055010253,15142.0043165797,2HCTcell_d3,PDL1p,0
2773,193.65555444335928,117.8291090698242,3755.472752773322,7361.352543299068,2358.462048082643,12927.440231575962,2HCTcell_d3,PDL1p,0
2774,229.28150219726558,55.13567041015625,8506.866992590372,8189.946224152064,2431.840932399661,13213.535263136659,2HCTcell_d3,PDL1p,0
2775,179.10709130859368,254.35398474121092,5411.347762034772,4987.751029555047,1632.7623891786873,12960.71510874795,2HCTcell_d3,PDL1p,0
2776,219.3749436035157,78.37059643554687,15708.116665291396,16788.268864527297,2432.463403203451,23174.73949820666,2HCTcell_d3,PDL1p,0
2777,195.8724543457031,275.8405456542969,11591.552373763088,11145.190807343155,1811.9495654077982,23910.02944156183,2HCTcell_d3,PDL1p,0
2778,183.47719873046867,272.3393514404297,5685.343463684645,3173.546316502274,1868.6246879402222,16555.124004563484,2HCTcell_d3,PDL1p,0
2779,221.0492617187499,66.46359539794923,13558.90612555587,11616.669409772676,1783.9715948078674,18833.33739892773,2HCTcell_d3,PDL1p,0
2780,165.4285078124999,285.0397230224609,6128.658157574701,3538.6171124706498,1479.3148945183102,21013.43598471379,2HCTcell_d3,PDL1p,0
2781,238.6550512695312,112.5713350830078,23165.28849638409,24626.18891799462,2253.2479662126116,29981.79831390985,2HCTcell_d3,PDL1p,0
2782,221.76138305664062,92.29513653564453,4548.95823855133,10449.873097968375,1773.0983584884866,13912.926004810794,2HCTcell_d3,PDL1p,0
2783,171.86346337890632,304.38780297851565,4552.67065020037,5886.953136686746,2190.445763728263,22256.889081181056,2HCTcell_d3,PDL1p,0
2784,231.36899243164066,246.5177967529297,5235.582487731092,3800.169840867419,1779.069637228024,13354.584445483524,2HCTcell_d3,PDL1p,0
2785,160.2821264648437,256.5956436767578,5693.116254734481,2672.7734497195984,1245.6265640283248,15129.751175526684,2HCTcell_d3,PDL1p,0
2786,226.16554565429692,58.865931701660145,16732.849579928497,13630.097847194831,1584.5053034126079,24354.101964555153,2HCTcell_d3,PDL1p,0
2787,234.22097534179693,122.6968132324219,8053.434409023817,6080.499552575008,1653.3525562352918,13127.24761487957,2HCTcell_d3,PDL1p,0
2788,115.08842309570309,298.8391103515625,4089.142845866225,3522.698933532798,1596.2386578503147,38067.83300711458,2HCTcell_d3,PDL1p,0
2789,181.9785869140626,260.47692126464847,12363.177097234453,7385.123258906652,2087.527226458646,21996.11099311924,2HCTcell_d3,PDL1p,0
2790,190.22444946289056,79.29747247314452,5405.8346833880405,5986.965752041823,1031.0809541135488,13159.029789486836,2HCTcell_d3,PDL1p,0
2791,427.7214716796875,56.3781320800781,6416.896356877112,13193.865292215227,2114.4566126915797,23815.81807969043,2HCTcell_d3,PDL1p,0
2792,426.9151923828124,67.31336407470701,6723.541710213843,12531.823077890076,2158.013419950152,24344.30794772734,2HCTcell_d3,PDL1p,0
2793,426.9753872070312,145.5905202026367,4691.680177783429,9895.847097864358,2367.297022840204,12624.15139047333,2HCTcell_d3,PDL1p,0
2794,419.8518728027343,229.15315466308596,6811.126062305952,10447.528936386103,2484.7393895010737,16148.540145982166,2HCTcell_d3,PDL1p,0
2795,263.46719213867186,106.16654595947267,3711.7429162267686,7349.620945230824,1774.356879942611,14050.234580730652,2HCTcell_d3,PDL1p,0
2796,410.36133959960944,258.94646325683595,5993.274521971678,8554.886189468265,1863.0275890264297,21988.73126043959,2HCTcell_d3,PDL1p,0
2797,423.33682177734386,95.69513165283206,4048.786142965369,7725.222259929691,1878.1039713629089,12682.162650146698,2HCTcell_d3,PDL1p,0
2798,425.4170407714844,252.89393811035154,6737.8420135841,7721.943401007651,2599.105370385195,24260.461723665037,2HCTcell_d3,PDL1p,0
2799,246.76036718749992,105.76398156738281,7200.209925412388,10221.850782077536,2405.9711412201127,16132.957039207697,2HCTcell_d3,PDL1p,0
2800,414.5301533203126,273.7100262451172,4805.54006219226,7844.230946472762,1887.2549528198,15135.152044806311,2HCTcell_d3,PDL1p,0
